 Dist  ;  Az   ;num;type
1.41421;0.78540;  1; mis
2.40421;0.78540;  1; mis
3.38421;0.78540;  1; mis
4.35421;0.78540;  1; mis
5.31421;0.78540;  1; mis
8.99214;0.78540;  0; mis
6.26421;0.78540;  1; mis
7.93214;0.78540;  0; mis
7.20421;0.78540;  1; mis
6.86214;0.78540;  0; mis
8.13421;0.78540;  1; mis
5.78214;0.78540;  0; mis
9.05421;0.78540;  1; mis
4.69214;0.78540;  0; mis
9.96421;0.78540;  1; mis
3.59214;0.78540;  0; mis
2.48214;0.78540;  0; mis
1.36214;0.78540;  0; mis
0.23214;0.78540;  0; mis
0.90786;0.78540;  0; mis
2.05786;0.78540;  0; mis
3.21786;0.78540;  0; mis
4.38786;0.78540;  0; mis
5.56786;0.78540;  0; mis
6.75786;0.78540;  0; mis
7.95786;0.78540;  0; mis
9.16786;0.78540;  0; mis
