 Dist  ;  Az   ;num;type
80.85786;0.78540;  1; air
25.28932;0.78540;  0; air
81.85786;0.78540;  1; air
26.28932;0.78540;  0; air
82.85786;0.78540;  1; air
27.28932;0.78540;  0; air
83.85786;0.78540;  1; air
28.28932;0.78540;  0; air
84.85786;0.78540;  1; air
29.28932;0.78540;  0; air
85.85786;0.78540;  1; air
