  time ;  Dist ; Course ;   V   ;  Type
  8.400;195.739; 9.78693803620782E+0000;   0.922 Aircraft
  8.500;195.646; 9.78230008003416E+0000;   0.932 Aircraft
  8.600;195.552; 9.77761218624355E+0000;   0.942 Aircraft
  8.700;195.457; 9.77287435483600E+0000;   0.952 Aircraft
  8.800;195.362; 9.76808658581150E+0000;   0.962 Aircraft
  8.900;195.265; 9.76324887917007E+0000;   0.972 Aircraft
  9.000;195.167; 9.75836123491168E+0000;   0.982 Aircraft
  9.100;195.068; 9.75342365303636E+0000;   0.992 Aircraft
  9.200;194.969; 9.74843613354408E+0000;   1.002 Aircraft
  9.300;194.868; 9.74339867643487E+0000;   1.012 Aircraft
  9.400;194.766; 9.73831128170871E+0000;   1.022 Aircraft
  9.500;194.663; 9.73317394936561E+0000;   1.032 Aircraft
  9.600;194.560; 9.72798667940556E+0000;   1.042 Aircraft
  9.700;194.455; 9.72274947182857E+0000;   1.052 Aircraft
  9.800;194.349; 9.71746232663464E+0000;   1.062 Aircraft
  9.900;194.243; 9.71212524382376E+0000;   1.072 Aircraft
 10.000;194.135; 9.70673822339593E+0000;   1.082 Aircraft
 10.100;194.026; 9.70130126535117E+0000;   1.092 Aircraft
 10.200;193.916; 9.69581436968946E+0000;   1.102 Aircraft
 10.300;193.806; 9.69027753641080E+0000;   1.112 Aircraft
 10.400;193.694; 9.68469076551521E+0000;   1.122 Aircraft
 10.500;193.581; 9.67905405700266E+0000;   1.132 Aircraft
 10.600;193.467; 9.67336741087318E+0000;   1.142 Aircraft
 10.700;193.353; 9.66763082712675E+0000;   1.152 Aircraft
 10.800;193.237; 9.66184430576338E+0000;   1.162 Aircraft
 10.900;193.120; 9.65600784678306E+0000;   1.172 Aircraft
 11.000;193.002; 9.65012145018580E+0000;   1.182 Aircraft
 11.100;192.884; 9.64418511597159E+0000;   1.192 Aircraft
 11.200;192.764; 9.63819884414044E+0000;   1.202 Aircraft
 11.300;192.643; 9.63216263469235E+0000;   1.212 Aircraft
 11.400;192.522; 9.62607648762731E+0000;   1.222 Aircraft
 11.500;192.399; 9.61994040294533E+0000;   1.232 Aircraft
 11.600;192.275; 9.61375438064641E+0000;   1.242 Aircraft
 11.700;192.150; 9.60751842073054E+0000;   1.252 Aircraft
 11.800;192.025; 9.60123252319773E+0000;   1.262 Aircraft
 11.900;191.898; 9.59489668804797E+0000;   1.272 Aircraft
 12.000;191.770; 9.58851091528127E+0000;   1.282 Aircraft
 12.100;191.642; 9.58207520489763E+0000;   1.292 Aircraft
 12.200;191.512; 9.57558955689704E+0000;   1.302 Aircraft
 12.300;191.381; 9.56905397127951E+0000;   1.312 Aircraft
 12.400;191.249; 9.56246844804503E+0000;   1.322 Aircraft
 12.500;191.117; 9.55583298719361E+0000;   1.332 Aircraft
 12.600;190.983; 9.54914758872525E+0000;   1.342 Aircraft
 12.700;190.848; 9.54241225263994E+0000;   1.352 Aircraft
 12.800;190.713; 9.53562697893769E+0000;   1.362 Aircraft
 12.900;190.576; 9.52879176761850E+0000;   1.372 Aircraft
 13.000;190.438; 9.52190661868236E+0000;   1.382 Aircraft
 13.100;190.299; 9.51497153212927E+0000;   1.392 Aircraft
 13.200;190.160; 9.50798650795925E+0000;   1.402 Aircraft
 13.300;190.019; 9.50095154617227E+0000;   1.412 Aircraft
 13.400;189.877; 9.49386664676836E+0000;   1.422 Aircraft
 13.500;189.735; 9.48673180974750E+0000;   1.432 Aircraft
 13.600;189.591; 9.47954703510970E+0000;   1.442 Aircraft
 13.700;189.446; 9.47231232285495E+0000;   1.452 Aircraft
 13.800;189.301; 9.46502767298326E+0000;   1.462 Aircraft
 13.900;189.154; 9.45769308549463E+0000;   1.472 Aircraft
 14.000;189.006; 9.45030856038905E+0000;   1.482 Aircraft
 14.100;188.857; 9.44287409766653E+0000;   1.492 Aircraft
 14.200;188.708; 9.43538969732706E+0000;   1.502 Aircraft
 14.300;188.557; 9.42785535937066E+0000;   1.512 Aircraft
 14.400;188.405; 9.42027108379730E+0000;   1.522 Aircraft
 14.500;188.253; 9.41263687060700E+0000;   1.532 Aircraft
 14.600;188.099; 9.40495271979976E+0000;   1.542 Aircraft
 14.700;187.944; 9.39721863137558E+0000;   1.552 Aircraft
 14.800;187.789; 9.38943460533445E+0000;   1.562 Aircraft
 14.900;187.632; 9.38160064167637E+0000;   1.572 Aircraft
 15.000;187.474; 9.37371674040136E+0000;   1.582 Aircraft
 15.100;187.316; 9.36578290150940E+0000;   1.592 Aircraft
 15.200;187.156; 9.35779912500049E+0000;   1.602 Aircraft
 15.300;186.995; 9.34976541087464E+0000;   1.612 Aircraft
 15.400;186.834; 9.34168175913185E+0000;   1.622 Aircraft
 15.500;186.671; 9.33354816977211E+0000;   1.632 Aircraft
 15.600;186.507; 9.32536464279544E+0000;   1.642 Aircraft
 15.700;186.343; 9.31713117820181E+0000;   1.652 Aircraft
 15.800;186.177; 9.30884777599124E+0000;   1.662 Aircraft
 15.900;186.010; 9.30051443616373E+0000;   1.672 Aircraft
 16.000;185.801; 9.29002753660551E+0000;   1.685 Aircraft
 16.100;185.589; 9.27946260952082E+0000;   1.697 Aircraft
 16.200;185.376; 9.26881965490965E+0000;   1.710 Aircraft
 16.300;185.162; 9.25809867277201E+0000;   1.722 Aircraft
 16.400;184.946; 9.24729966310790E+0000;   1.735 Aircraft
 16.500;184.728; 9.23642262591730E+0000;   1.747 Aircraft
 16.600;184.509; 9.22546756120024E+0000;   1.760 Aircraft
 16.700;184.289; 9.21443446895670E+0000;   1.772 Aircraft
 16.800;184.066; 9.20332334918668E+0000;   1.785 Aircraft
 16.900;183.843; 9.19213420189019E+0000;   1.797 Aircraft
 17.000;183.617; 9.18086702706722E+0000;   1.810 Aircraft
 17.100;183.390; 9.16952182471778E+0000;   1.822 Aircraft
 17.200;183.162; 9.15809859484187E+0000;   1.835 Aircraft
 17.300;182.932; 9.14659733743948E+0000;   1.847 Aircraft
 17.400;182.700; 9.13501805251061E+0000;   1.860 Aircraft
 17.500;182.467; 9.12336074005527E+0000;   1.872 Aircraft
 17.600;182.233; 9.11162540007346E+0000;   1.885 Aircraft
 17.700;181.996; 9.09981203256517E+0000;   1.897 Aircraft
 17.800;181.758; 9.08792063753040E+0000;   1.910 Aircraft
 17.900;181.519; 9.07595121496917E+0000;   1.922 Aircraft
 18.000;181.278; 9.06390376488145E+0000;   1.935 Aircraft
 18.100;181.036; 9.05177828726726E+0000;   1.947 Aircraft
 18.200;180.791; 9.03957478212660E+0000;   1.960 Aircraft
 18.300;180.546; 9.02729324945946E+0000;   1.972 Aircraft
 18.400;180.299; 9.01493368926585E+0000;   1.985 Aircraft
 18.500;180.050; 9.00249610154576E+0000;   1.997 Aircraft
 18.600;179.800; 8.98998048629920E+0000;   2.010 Aircraft
 18.700;179.548; 8.97738684352616E+0000;   2.022 Aircraft
 18.800;179.294; 8.96471517322665E+0000;   2.035 Aircraft
 18.900;179.039; 8.95196547540066E+0000;   2.047 Aircraft
 19.000;178.783; 8.93913775004819E+0000;   2.060 Aircraft
 19.100;178.525; 8.92623199716926E+0000;   2.072 Aircraft
 19.200;178.265; 8.91324821676385E+0000;   2.085 Aircraft
 19.300;178.004; 8.90018640883196E+0000;   2.097 Aircraft
 19.400;177.741; 8.88704657337360E+0000;   2.110 Aircraft
 19.500;177.477; 8.87382871038876E+0000;   2.122 Aircraft
 19.600;177.211; 8.86053281987745E+0000;   2.135 Aircraft
 19.700;176.943; 8.84715890183966E+0000;   2.147 Aircraft
 19.800;176.674; 8.83370695627540E+0000;   2.160 Aircraft
 19.900;176.404; 8.82017698318467E+0000;   2.172 Aircraft
 20.000;176.131; 8.80656898256746E+0000;   2.185 Aircraft
 20.100;175.858; 8.79288295442377E+0000;   2.197 Aircraft
 20.200;175.582; 8.77911889875361E+0000;   2.210 Aircraft
 20.300;175.306; 8.76527681555698E+0000;   2.222 Aircraft
 20.400;175.027; 8.75135670483387E+0000;   2.235 Aircraft
 20.500;174.747; 8.73735856658428E+0000;   2.247 Aircraft
 20.600;174.466; 8.72328240080822E+0000;   2.260 Aircraft
 20.700;174.183; 8.70912820750569E+0000;   2.272 Aircraft
 20.800;173.898; 8.69489598667668E+0000;   2.285 Aircraft
 20.900;173.612; 8.68058573832120E+0000;   2.297 Aircraft
 21.000;173.324; 8.66619746243924E+0000;   2.310 Aircraft
 21.100;173.035; 8.65173115903080E+0000;   2.322 Aircraft
 21.200;172.744; 8.63718682809589E+0000;   2.335 Aircraft
 21.300;172.451; 8.62256446963451E+0000;   2.347 Aircraft
 21.400;172.157; 8.60786408364665E+0000;   2.360 Aircraft
 21.500;171.862; 8.59308567013232E+0000;   2.372 Aircraft
 21.600;171.565; 8.57822922909151E+0000;   2.385 Aircraft
 21.700;171.266; 8.56329476052423E+0000;   2.397 Aircraft
 21.800;170.966; 8.54828226443047E+0000;   2.410 Aircraft
 21.900;170.664; 8.53319174081024E+0000;   2.422 Aircraft
 22.000;170.360; 8.51802318966353E+0000;   2.435 Aircraft
 22.100;170.056; 8.50277661099035E+0000;   2.447 Aircraft
 22.200;169.749; 8.48745200479069E+0000;   2.460 Aircraft
 22.300;169.441; 8.47204937106456E+0000;   2.472 Aircraft
 22.400;169.131; 8.45656870981195E+0000;   2.485 Aircraft
 22.500;168.820; 8.44101002103287E+0000;   2.497 Aircraft
 22.600;168.507; 8.42537330472732E+0000;   2.510 Aircraft
 22.700;168.193; 8.40965856089528E+0000;   2.522 Aircraft
